protein_id,degree,organism
YP_4548748.1,21,Homo sapiens
NP_7252747.1,2,Homo sapiens
XP_4237270.1,15,Homo sapiens
WP_8947905.1,12,Homo sapiens
XP_1120154.1,19,Homo sapiens
RP_8170924.1,9,Homo sapiens
AP_5045169.1,12,Homo sapiens
WP_8004294.1,6,Homo sapiens
XP_8271548.1,8,Homo sapiens
XP_9358731.1,16,Homo sapiens
RP_8069693.1,11,Homo sapiens
YP_1959582.1,15,Homo sapiens
RP_7844064.1,11,Homo sapiens
XP_4820642.1,12,Homo sapiens
AP_649239.1,15,Homo sapiens
XP_5508753.1,13,Homo sapiens
ZP_3147569.1,12,Homo sapiens
XP_9759072.1,10,Homo sapiens
AP_9256558.1,7,Homo sapiens
YP_497710.1,2,Homo sapiens
YP_4417048.1,8,Homo sapiens
ZP_3288729.1,5,Homo sapiens
AP_5205724.1,5,Homo sapiens
AP_8096198.1,15,Homo sapiens
RP_6027997.1,25,Homo sapiens
AP_3981185.1,11,Homo sapiens
YP_5104998.1,17,Homo sapiens
ZP_5266650.1,10,Homo sapiens
ZP_8209916.1,10,Homo sapiens
RP_531413.1,16,Homo sapiens
AP_4265100.1,20,Homo sapiens
XP_963561.1,19,Homo sapiens
WP_3307393.1,18,Homo sapiens
YP_7556985.1,3,Homo sapiens
YP_1126553.1,7,Homo sapiens
WP_8633879.1,16,Homo sapiens
XP_3843797.1,1,Homo sapiens
RP_6457718.1,24,Homo sapiens
YP_8565506.1,8,Homo sapiens
ZP_6946192.1,11,Homo sapiens
AP_7447689.1,3,Homo sapiens
WP_1929553.1,1,Homo sapiens
NP_3141341.1,1,Homo sapiens
YP_6766455.1,4,Homo sapiens
WP_7763589.1,16,Homo sapiens
AP_5088023.1,23,Homo sapiens
AP_7909006.1,9,Homo sapiens
YP_1775843.1,15,Homo sapiens
XP_3329028.1,9,Homo sapiens
NP_1821610.1,4,Homo sapiens
YP_2439767.1,14,Homo sapiens
WP_2714235.1,12,Homo sapiens
AP_8815912.1,9,Homo sapiens
WP_2810241.1,18,Homo sapiens
ZP_1242953.1,11,Homo sapiens
YP_4078702.1,18,Homo sapiens
YP_426916.1,22,Homo sapiens
WP_4606554.1,20,Homo sapiens
NP_9562743.1,10,Homo sapiens
ZP_6949486.1,12,Homo sapiens
XP_8437735.1,8,Homo sapiens
WP_3380772.1,20,Homo sapiens
NP_5909041.1,5,Homo sapiens
XP_5187268.1,2,Homo sapiens
ZP_503119.1,24,Homo sapiens
AP_8312420.1,10,Homo sapiens
AP_502732.1,3,Homo sapiens
XP_1232658.1,11,Homo sapiens
NP_4422626.1,10,Homo sapiens
NP_3579591.1,3,Homo sapiens
WP_5303916.1,12,Homo sapiens
AP_7526263.1,15,Homo sapiens
WP_4280303.1,3,Homo sapiens
ZP_4784346.1,6,Homo sapiens
WP_1147343.1,20,Homo sapiens
YP_8593836.1,23,Homo sapiens
WP_1855692.1,12,Homo sapiens
YP_1830228.1,7,Homo sapiens
NP_1669123.1,3,Homo sapiens
RP_7493979.1,7,Homo sapiens
RP_8537482.1,17,Homo sapiens
AP_3320281.1,12,Homo sapiens
YP_8275602.1,19,Homo sapiens
RP_6963382.1,10,Homo sapiens
NP_8959060.1,7,Homo sapiens
XP_2692670.1,10,Homo sapiens
NP_6803459.1,9,Homo sapiens
NP_542061.1,3,Homo sapiens
AP_3861675.1,8,Homo sapiens
RP_7515745.1,7,Homo sapiens
AP_9612602.1,12,Homo sapiens
YP_5471112.1,10,Homo sapiens
YP_8651646.1,10,Homo sapiens
NP_5224795.1,11,Homo sapiens
AP_6593509.1,7,Homo sapiens
WP_9566441.1,17,Homo sapiens
YP_8924031.1,6,Homo sapiens
NP_8811998.1,13,Homo sapiens
ZP_4168316.1,15,Homo sapiens
XP_8167987.1,11,Homo sapiens
ZP_6245265.1,21,Homo sapiens
ZP_883066.1,21,Homo sapiens
YP_6340779.1,9,Homo sapiens
XP_6717488.1,7,Homo sapiens
NP_4041237.1,19,Homo sapiens
YP_2142999.1,12,Homo sapiens
WP_3759985.1,5,Homo sapiens
NP_8119213.1,10,Homo sapiens
RP_649148.1,8,Homo sapiens
ZP_5168002.1,5,Homo sapiens
ZP_2035740.1,3,Homo sapiens
ZP_5036710.1,12,Homo sapiens
AP_5255872.1,10,Homo sapiens
XP_3277326.1,14,Homo sapiens
RP_3863122.1,14,Homo sapiens
WP_4521590.1,6,Homo sapiens
NP_912461.1,8,Homo sapiens
NP_4527036.1,2,Homo sapiens
ZP_1818224.1,10,Homo sapiens
WP_9412652.1,9,Homo sapiens
YP_8006166.1,11,Homo sapiens
AP_9875260.1,6,Homo sapiens
WP_8774163.1,7,Homo sapiens
NP_3586669.1,20,Homo sapiens
ZP_9409205.1,3,Homo sapiens
WP_3822946.1,14,Homo sapiens
YP_9974813.1,16,Homo sapiens
ZP_324695.1,23,Homo sapiens
ZP_3541628.1,6,Homo sapiens
AP_7652975.1,9,Homo sapiens
AP_7861850.1,5,Homo sapiens
ZP_9899314.1,8,Homo sapiens
YP_3933284.1,11,Homo sapiens
WP_1947865.1,3,Homo sapiens
ZP_7686725.1,7,Homo sapiens
RP_9408092.1,7,Homo sapiens
WP_4117136.1,10,Homo sapiens
YP_444855.1,8,Homo sapiens
ZP_1174961.1,11,Homo sapiens
RP_2477935.1,7,Homo sapiens
WP_8396877.1,13,Homo sapiens
YP_6266160.1,7,Homo sapiens
AP_5744807.1,11,Homo sapiens
RP_2542266.1,16,Homo sapiens
XP_9707366.1,11,Homo sapiens
WP_5250635.1,5,Homo sapiens
AP_7314615.1,25,Homo sapiens
ZP_8110643.1,12,Homo sapiens
XP_5081262.1,12,Homo sapiens
YP_5390717.1,6,Homo sapiens
XP_2981990.1,15,Homo sapiens
YP_7992861.1,10,Homo sapiens
ZP_6311411.1,5,Homo sapiens
ZP_5709125.1,6,Homo sapiens
YP_2974299.1,5,Homo sapiens
RP_7430292.1,19,Homo sapiens
AP_1904673.1,7,Homo sapiens
WP_9098604.1,5,Homo sapiens
YP_9267121.1,7,Homo sapiens
XP_8125407.1,10,Homo sapiens
NP_8877198.1,13,Homo sapiens
RP_3251882.1,1,Homo sapiens
AP_3310016.1,23,Homo sapiens
ZP_6837320.1,9,Homo sapiens
WP_264053.1,3,Homo sapiens
WP_6073544.1,13,Homo sapiens
YP_5382379.1,14,Homo sapiens
YP_2642637.1,9,Homo sapiens
RP_8207317.1,8,Homo sapiens
XP_9834816.1,9,Homo sapiens
NP_8511039.1,2,Homo sapiens
NP_9731739.1,6,Homo sapiens
YP_9062049.1,6,Homo sapiens
YP_8384960.1,13,Homo sapiens
YP_2149949.1,17,Homo sapiens
YP_1368300.1,14,Homo sapiens
ZP_7754502.1,12,Homo sapiens
NP_3982149.1,16,Homo sapiens
RP_7145209.1,8,Homo sapiens
XP_7778073.1,10,Homo sapiens
NP_4945710.1,6,Homo sapiens
NP_9209609.1,12,Homo sapiens
RP_7358746.1,3,Homo sapiens
XP_4509352.1,6,Homo sapiens
XP_5211142.1,9,Homo sapiens
RP_9694271.1,10,Homo sapiens
YP_8815633.1,3,Homo sapiens
ZP_8852967.1,10,Homo sapiens
NP_1408507.1,10,Homo sapiens
XP_9431795.1,14,Homo sapiens
XP_200734.1,11,Homo sapiens
RP_2951274.1,14,Homo sapiens
ZP_9635695.1,4,Homo sapiens
ZP_3929049.1,6,Homo sapiens
XP_1968670.1,5,Homo sapiens
WP_7365406.1,23,Homo sapiens
YP_4913673.1,6,Homo sapiens
XP_9421425.1,9,Homo sapiens
XP_4435702.1,6,Homo sapiens
ZP_3062732.1,21,Homo sapiens
WP_2092825.1,8,Homo sapiens
WP_6252941.1,7,Homo sapiens
ZP_9083212.1,10,Homo sapiens
AP_2831638.1,5,Homo sapiens
AP_3076031.1,2,Homo sapiens
WP_6612427.1,6,Homo sapiens
NP_5811813.1,15,Homo sapiens
NP_4048242.1,6,Homo sapiens
XP_1317060.1,6,Homo sapiens
YP_4778714.1,2,Homo sapiens
WP_1490281.1,16,Homo sapiens
WP_2422466.1,7,Homo sapiens
AP_8199932.1,11,Homo sapiens
XP_2046830.1,13,Homo sapiens
YP_2714150.1,15,Homo sapiens
ZP_4760061.1,11,Homo sapiens
AP_2705214.1,7,Homo sapiens
NP_2329180.1,12,Homo sapiens
ZP_9484451.1,9,Homo sapiens
ZP_9114653.1,4,Homo sapiens
ZP_4131419.1,6,Homo sapiens
NP_9880146.1,15,Homo sapiens
YP_4890691.1,11,Homo sapiens
NP_4325889.1,17,Homo sapiens
ZP_389102.1,5,Homo sapiens
NP_9579413.1,2,Homo sapiens
AP_4543778.1,5,Homo sapiens
AP_4262065.1,12,Homo sapiens
AP_6186368.1,12,Homo sapiens
WP_4314279.1,13,Homo sapiens
ZP_1357949.1,1,Homo sapiens
RP_7637165.1,8,Homo sapiens
XP_3950241.1,4,Homo sapiens
RP_488076.1,9,Homo sapiens
YP_4984797.1,15,Homo sapiens
XP_5640070.1,11,Homo sapiens
YP_6591878.1,4,Homo sapiens
XP_2060826.1,22,Homo sapiens
YP_2944664.1,2,Homo sapiens
ZP_1478369.1,3,Homo sapiens
WP_2190212.1,16,Homo sapiens
AP_4271774.1,7,Homo sapiens
YP_252999.1,9,Homo sapiens
ZP_8549975.1,12,Homo sapiens
ZP_4700108.1,7,Homo sapiens
RP_2954190.1,4,Homo sapiens
RP_7296042.1,15,Homo sapiens
NP_2754837.1,10,Homo sapiens
XP_1142377.1,11,Homo sapiens
AP_4677033.1,14,Homo sapiens
ZP_3357181.1,4,Homo sapiens
YP_5254048.1,7,Homo sapiens
AP_8461735.1,4,Homo sapiens
WP_2042811.1,6,Homo sapiens
YP_398090.1,4,Homo sapiens
AP_5525838.1,5,Homo sapiens
AP_9814891.1,4,Homo sapiens
AP_2420688.1,10,Homo sapiens
YP_9809175.1,12,Homo sapiens
ZP_4636119.1,10,Homo sapiens
ZP_4115470.1,0,Homo sapiens
RP_3722138.1,3,Homo sapiens
AP_1037841.1,6,Homo sapiens
XP_8161896.1,1,Homo sapiens
RP_2943940.1,19,Homo sapiens
ZP_4032441.1,9,Homo sapiens
AP_4464406.1,7,Homo sapiens
WP_1486980.1,1,Homo sapiens
AP_7600960.1,1,Homo sapiens
YP_3140267.1,5,Homo sapiens
NP_9785684.1,9,Homo sapiens
NP_1280887.1,13,Homo sapiens
WP_4539850.1,32,Homo sapiens
XP_1996220.1,7,Homo sapiens
YP_8635078.1,22,Homo sapiens
RP_1467223.1,12,Homo sapiens
RP_9543754.1,17,Homo sapiens
NP_4373445.1,9,Homo sapiens
ZP_3284790.1,12,Homo sapiens
XP_6781935.1,14,Homo sapiens
NP_6789142.1,8,Homo sapiens
NP_3746804.1,8,Homo sapiens
YP_1649302.1,7,Homo sapiens
AP_900101.1,7,Homo sapiens
AP_5977845.1,6,Homo sapiens
RP_5338561.1,13,Homo sapiens
YP_9453526.1,15,Homo sapiens
RP_8221757.1,2,Homo sapiens
NP_8517233.1,14,Homo sapiens
YP_7476519.1,17,Homo sapiens
RP_1376647.1,5,Homo sapiens
YP_5516775.1,7,Homo sapiens
YP_8804813.1,5,Homo sapiens
ZP_3244480.1,5,Homo sapiens
YP_3670834.1,4,Homo sapiens
RP_4928761.1,15,Homo sapiens
XP_6951803.1,11,Homo sapiens
NP_5842533.1,2,Homo sapiens
RP_2727144.1,3,Homo sapiens
YP_2925896.1,0,Homo sapiens
YP_4976872.1,11,Homo sapiens
AP_2719980.1,4,Homo sapiens
RP_821384.1,3,Homo sapiens
WP_9008385.1,3,Homo sapiens
AP_2987698.1,8,Homo sapiens
XP_2532593.1,2,Homo sapiens
AP_4131464.1,1,Homo sapiens
RP_8645106.1,9,Homo sapiens
AP_6233066.1,14,Homo sapiens
YP_6629845.1,23,Homo sapiens
RP_8056056.1,14,Homo sapiens
AP_1676590.1,18,Homo sapiens
YP_2061977.1,11,Homo sapiens
RP_4132654.1,5,Homo sapiens
AP_6600242.1,5,Homo sapiens
ZP_7078140.1,9,Homo sapiens
YP_9368720.1,9,Homo sapiens
WP_3137099.1,3,Homo sapiens
XP_4928426.1,2,Homo sapiens
WP_2142823.1,10,Homo sapiens
XP_8479341.1,10,Homo sapiens
NP_6679137.1,8,Homo sapiens
XP_2012584.1,10,Homo sapiens
WP_325049.1,15,Homo sapiens
NP_847419.1,5,Homo sapiens
AP_5538684.1,12,Homo sapiens
NP_5637803.1,21,Homo sapiens
AP_1754753.1,4,Homo sapiens
AP_671107.1,10,Homo sapiens
RP_2186213.1,10,Homo sapiens
XP_2879499.1,14,Homo sapiens
WP_7413834.1,1,Homo sapiens
AP_9037492.1,8,Homo sapiens
RP_5144842.1,17,Homo sapiens
RP_9476079.1,8,Homo sapiens
RP_4256532.1,8,Homo sapiens
ZP_6692910.1,4,Homo sapiens
YP_5482858.1,12,Homo sapiens
WP_7288238.1,21,Homo sapiens
ZP_3717556.1,5,Homo sapiens
AP_358517.1,13,Homo sapiens
WP_9845741.1,5,Homo sapiens
AP_805475.1,9,Homo sapiens
AP_9236621.1,8,Homo sapiens
WP_9740686.1,11,Homo sapiens
ZP_524226.1,16,Homo sapiens
NP_4217923.1,4,Homo sapiens
XP_5713201.1,8,Homo sapiens
NP_798956.1,13,Homo sapiens
ZP_3503096.1,24,Homo sapiens
XP_6378602.1,5,Homo sapiens
RP_6243326.1,13,Homo sapiens
ZP_7619817.1,8,Homo sapiens
RP_7512620.1,3,Homo sapiens
RP_8754406.1,3,Homo sapiens
RP_6148055.1,3,Homo sapiens
YP_3991113.1,7,Homo sapiens
AP_8644291.1,12,Homo sapiens
ZP_4830741.1,12,Homo sapiens
RP_2006039.1,13,Homo sapiens
AP_1555465.1,10,Homo sapiens
RP_9482778.1,10,Homo sapiens
AP_311830.1,7,Homo sapiens
XP_6087029.1,7,Homo sapiens
ZP_6616616.1,9,Homo sapiens
NP_4855976.1,7,Homo sapiens
RP_6997673.1,13,Homo sapiens
NP_6102296.1,8,Homo sapiens
AP_6910183.1,5,Homo sapiens
YP_7567866.1,6,Homo sapiens
AP_5594339.1,7,Homo sapiens
NP_6496567.1,17,Homo sapiens
WP_8102619.1,10,Homo sapiens
RP_4121080.1,9,Homo sapiens
NP_4528690.1,5,Homo sapiens
ZP_5539433.1,23,Homo sapiens
YP_8989782.1,7,Homo sapiens
NP_2848996.1,15,Homo sapiens
RP_3796176.1,14,Homo sapiens
WP_8999691.1,6,Homo sapiens
NP_1112384.1,7,Homo sapiens
RP_966964.1,24,Homo sapiens
YP_963663.1,21,Homo sapiens
AP_5883182.1,2,Homo sapiens
WP_7080571.1,5,Homo sapiens
RP_5434538.1,16,Homo sapiens
NP_1306861.1,9,Homo sapiens
AP_3219612.1,24,Homo sapiens
YP_2991005.1,10,Homo sapiens
YP_4836319.1,9,Homo sapiens
WP_357681.1,11,Homo sapiens
WP_5729481.1,9,Homo sapiens
XP_2154780.1,10,Homo sapiens
RP_8091208.1,10,Homo sapiens
YP_942186.1,1,Homo sapiens
RP_5452727.1,19,Homo sapiens
ZP_9981901.1,14,Homo sapiens
WP_7216355.1,1,Homo sapiens
NP_5638917.1,15,Homo sapiens
NP_3205958.1,16,Homo sapiens
AP_5659277.1,7,Homo sapiens
ZP_3358084.1,8,Homo sapiens
YP_8693059.1,19,Homo sapiens
WP_503322.1,0,Homo sapiens
XP_4410796.1,16,Homo sapiens
YP_5281057.1,3,Homo sapiens
ZP_4177716.1,9,Homo sapiens
XP_2008802.1,2,Homo sapiens
XP_1648075.1,13,Homo sapiens
AP_4268962.1,5,Homo sapiens
XP_6620645.1,8,Homo sapiens
NP_8483190.1,12,Homo sapiens
ZP_7328161.1,9,Homo sapiens
XP_880641.1,18,Homo sapiens
RP_1654205.1,7,Homo sapiens
ZP_6751143.1,3,Homo sapiens
XP_2651331.1,14,Homo sapiens
AP_9323644.1,11,Homo sapiens
RP_4101070.1,9,Homo sapiens
YP_2983791.1,8,Homo sapiens
NP_3596605.1,5,Homo sapiens
YP_6516438.1,10,Homo sapiens
ZP_408623.1,5,Homo sapiens
ZP_3396903.1,10,Homo sapiens
ZP_9679010.1,11,Homo sapiens
XP_1247116.1,9,Homo sapiens
RP_3872763.1,14,Homo sapiens
WP_410375.1,29,Homo sapiens
XP_1371300.1,12,Homo sapiens
ZP_5338631.1,10,Homo sapiens
ZP_6410208.1,10,Homo sapiens
YP_6227764.1,12,Homo sapiens
ZP_5959046.1,9,Homo sapiens
YP_8040879.1,8,Homo sapiens
ZP_3441861.1,9,Homo sapiens
ZP_7459201.1,4,Homo sapiens
AP_4412717.1,11,Homo sapiens
ZP_3513654.1,12,Homo sapiens
NP_7963020.1,4,Homo sapiens
NP_8704008.1,4,Homo sapiens
AP_3424664.1,6,Homo sapiens
YP_8310880.1,10,Homo sapiens
WP_4684258.1,8,Homo sapiens
ZP_8217654.1,17,Homo sapiens
NP_9733233.1,12,Homo sapiens
RP_7006117.1,9,Homo sapiens
WP_4909109.1,6,Homo sapiens
WP_1683246.1,16,Homo sapiens
XP_826331.1,13,Homo sapiens
AP_1894291.1,1,Homo sapiens
NP_5052075.1,2,Homo sapiens
RP_2978117.1,4,Homo sapiens
NP_7474626.1,4,Homo sapiens
XP_5387913.1,7,Homo sapiens
XP_5416741.1,11,Homo sapiens
WP_4257263.1,8,Homo sapiens
RP_9615406.1,4,Homo sapiens
AP_7184609.1,12,Homo sapiens
WP_4215362.1,9,Homo sapiens
NP_1352557.1,6,Homo sapiens
ZP_1590687.1,10,Homo sapiens
NP_9411768.1,6,Homo sapiens
NP_5372864.1,4,Homo sapiens
ZP_3974910.1,0,Homo sapiens
XP_3468045.1,7,Homo sapiens
XP_5285773.1,8,Homo sapiens
AP_4932691.1,6,Homo sapiens
WP_1068616.1,1,Homo sapiens
XP_8014520.1,9,Homo sapiens
AP_1590036.1,4,Homo sapiens
NP_7685159.1,6,Homo sapiens
AP_9554531.1,9,Homo sapiens
YP_9044718.1,11,Homo sapiens
ZP_8004428.1,4,Homo sapiens
ZP_4302271.1,10,Homo sapiens
ZP_9701869.1,12,Homo sapiens
ZP_8740145.1,13,Homo sapiens
AP_941531.1,9,Homo sapiens
RP_964645.1,11,Homo sapiens
AP_8959690.1,9,Homo sapiens
XP_4354849.1,11,Homo sapiens
ZP_6615350.1,5,Homo sapiens
WP_8436900.1,9,Homo sapiens
WP_1715777.1,12,Homo sapiens
NP_3612664.1,10,Homo sapiens
NP_1073181.1,14,Homo sapiens
WP_1591633.1,5,Homo sapiens
AP_2161774.1,5,Homo sapiens
YP_2890358.1,10,Homo sapiens
WP_7076610.1,7,Homo sapiens
AP_1350632.1,13,Homo sapiens
ZP_8626086.1,2,Homo sapiens
ZP_3811584.1,5,Homo sapiens
ZP_1719715.1,5,Homo sapiens
RP_6414768.1,5,Homo sapiens
AP_8424454.1,14,Homo sapiens
ZP_6826451.1,12,Homo sapiens
AP_1644613.1,15,Homo sapiens
RP_7234897.1,14,Homo sapiens
RP_2530525.1,8,Homo sapiens
AP_2556070.1,3,Homo sapiens
WP_388859.1,6,Homo sapiens
XP_4849766.1,9,Homo sapiens
AP_1646236.1,3,Homo sapiens
XP_9082913.1,7,Homo sapiens
XP_3859834.1,11,Homo sapiens
AP_5577093.1,2,Homo sapiens
RP_602420.1,3,Homo sapiens
NP_5629046.1,11,Homo sapiens
NP_9526807.1,10,Homo sapiens
RP_7662116.1,7,Homo sapiens
YP_1826676.1,12,Homo sapiens
NP_1785996.1,12,Homo sapiens
AP_3346417.1,10,Homo sapiens
AP_1452144.1,12,Homo sapiens
WP_1071248.1,11,Homo sapiens
ZP_6795306.1,11,Homo sapiens
RP_2707411.1,11,Homo sapiens
RP_3537172.1,13,Homo sapiens
NP_9547933.1,13,Homo sapiens
ZP_6023361.1,4,Homo sapiens
ZP_5642511.1,6,Homo sapiens
ZP_9085826.1,15,Homo sapiens
YP_3536252.1,6,Homo sapiens
ZP_917052.1,4,Homo sapiens
XP_7696585.1,5,Homo sapiens
AP_6369324.1,7,Homo sapiens
YP_9590536.1,25,Homo sapiens
YP_6219848.1,2,Homo sapiens
YP_1344289.1,7,Homo sapiens
ZP_9540815.1,9,Homo sapiens
AP_8792832.1,4,Homo sapiens
NP_2811793.1,8,Homo sapiens
NP_2419124.1,3,Homo sapiens
ZP_2173290.1,6,Homo sapiens
RP_2618970.1,6,Homo sapiens
XP_1827408.1,6,Homo sapiens
RP_1155675.1,10,Homo sapiens
RP_7536754.1,11,Homo sapiens
AP_2261088.1,5,Homo sapiens
RP_2420484.1,17,Homo sapiens
AP_587510.1,17,Homo sapiens
WP_7709964.1,12,Homo sapiens
WP_4155447.1,9,Homo sapiens
WP_1773879.1,6,Homo sapiens
YP_3393331.1,12,Homo sapiens
AP_3864455.1,2,Homo sapiens
NP_4435518.1,8,Homo sapiens
XP_8891690.1,8,Homo sapiens
ZP_5322798.1,8,Homo sapiens
WP_5315622.1,14,Homo sapiens
WP_6979771.1,9,Homo sapiens
WP_9696394.1,16,Homo sapiens
NP_3275684.1,18,Homo sapiens
AP_729085.1,10,Homo sapiens
XP_6171845.1,16,Homo sapiens
RP_703103.1,1,Homo sapiens
ZP_2089968.1,2,Homo sapiens
RP_5403943.1,16,Homo sapiens
YP_1357008.1,1,Homo sapiens
ZP_7537693.1,3,Homo sapiens
ZP_5237997.1,6,Homo sapiens
YP_7370518.1,1,Homo sapiens
XP_5611934.1,9,Homo sapiens
NP_8273321.1,8,Homo sapiens
AP_1103171.1,10,Homo sapiens
ZP_7314938.1,9,Homo sapiens
NP_1470485.1,4,Homo sapiens
AP_1781076.1,9,Homo sapiens
RP_5412399.1,14,Homo sapiens
ZP_1768321.1,22,Homo sapiens
WP_3393705.1,9,Homo sapiens
RP_6254512.1,11,Homo sapiens
NP_8515414.1,11,Homo sapiens
YP_4709688.1,14,Homo sapiens
WP_8281883.1,8,Homo sapiens
NP_7270837.1,12,Homo sapiens
ZP_1850740.1,4,Homo sapiens
ZP_9368511.1,9,Homo sapiens
WP_985421.1,11,Homo sapiens
YP_5595671.1,12,Homo sapiens
AP_3323522.1,7,Homo sapiens
NP_2317181.1,5,Homo sapiens
RP_1656518.1,9,Homo sapiens
YP_2759083.1,2,Homo sapiens
YP_4600398.1,4,Homo sapiens
NP_4977708.1,10,Homo sapiens
XP_7980317.1,1,Homo sapiens
XP_8381447.1,1,Homo sapiens
XP_3995958.1,3,Homo sapiens
ZP_7176042.1,9,Homo sapiens
XP_1365898.1,8,Homo sapiens
YP_2220539.1,7,Homo sapiens
AP_6047148.1,8,Homo sapiens
NP_7419764.1,7,Homo sapiens
RP_8806483.1,10,Homo sapiens
WP_1328337.1,3,Homo sapiens
RP_584814.1,5,Homo sapiens
WP_9714742.1,14,Homo sapiens
ZP_1699908.1,3,Homo sapiens
AP_5409792.1,9,Homo sapiens
WP_2992478.1,2,Homo sapiens
XP_6049852.1,10,Homo sapiens
XP_9674182.1,2,Homo sapiens
ZP_9284536.1,11,Homo sapiens
AP_3071783.1,17,Homo sapiens
NP_6624559.1,3,Homo sapiens
YP_2498083.1,4,Homo sapiens
WP_4009439.1,8,Homo sapiens
NP_5727745.1,7,Homo sapiens
WP_1807017.1,13,Homo sapiens
AP_7388538.1,2,Homo sapiens
WP_1749729.1,7,Homo sapiens
YP_1216271.1,14,Homo sapiens
AP_3199555.1,6,Homo sapiens
XP_1781641.1,6,Homo sapiens
NP_616409.1,17,Homo sapiens
XP_2888363.1,11,Homo sapiens
YP_4576321.1,3,Homo sapiens
AP_3335192.1,13,Homo sapiens
ZP_2035090.1,9,Homo sapiens
RP_4037270.1,2,Homo sapiens
XP_7189975.1,16,Homo sapiens
WP_1133316.1,11,Homo sapiens
NP_4919075.1,4,Homo sapiens
RP_4842297.1,5,Homo sapiens
AP_8174037.1,2,Homo sapiens
RP_7520105.1,26,Homo sapiens
XP_204195.1,8,Homo sapiens
ZP_5376728.1,3,Homo sapiens
AP_9827094.1,10,Homo sapiens
RP_2265251.1,8,Homo sapiens
AP_7403693.1,12,Homo sapiens
WP_8083439.1,13,Homo sapiens
NP_8974883.1,4,Homo sapiens
XP_9646263.1,4,Homo sapiens
NP_7456061.1,3,Homo sapiens
NP_2604594.1,8,Homo sapiens
RP_3667675.1,4,Homo sapiens
WP_9385424.1,3,Homo sapiens
RP_2514802.1,11,Homo sapiens
XP_543031.1,3,Homo sapiens
AP_6544345.1,7,Homo sapiens
XP_4016643.1,8,Homo sapiens
WP_5610493.1,11,Homo sapiens
RP_4955920.1,17,Homo sapiens
RP_6467712.1,8,Homo sapiens
NP_1509854.1,6,Homo sapiens
ZP_281360.1,9,Homo sapiens
WP_2615419.1,4,Homo sapiens
WP_4238286.1,3,Homo sapiens
WP_8433100.1,6,Homo sapiens
YP_3684197.1,6,Homo sapiens
ZP_411955.1,4,Homo sapiens
RP_5033594.1,4,Homo sapiens
RP_4935451.1,8,Homo sapiens
WP_7423494.1,8,Homo sapiens
YP_4798713.1,8,Homo sapiens
AP_3890328.1,9,Homo sapiens
ZP_5389730.1,3,Homo sapiens
AP_4537610.1,15,Homo sapiens
YP_2426133.1,7,Homo sapiens
AP_8048140.1,4,Homo sapiens
WP_6321714.1,11,Homo sapiens
NP_5105858.1,7,Homo sapiens
XP_7128722.1,1,Homo sapiens
AP_9075708.1,8,Homo sapiens
AP_1977971.1,13,Homo sapiens
YP_6914612.1,3,Homo sapiens
NP_2966757.1,9,Homo sapiens
NP_6013318.1,3,Homo sapiens
RP_1677969.1,12,Homo sapiens
WP_3751387.1,17,Homo sapiens
ZP_1811672.1,5,Homo sapiens
RP_3312883.1,9,Homo sapiens
YP_7332212.1,7,Homo sapiens
XP_6523959.1,6,Homo sapiens
ZP_7084297.1,2,Homo sapiens
XP_4959221.1,3,Homo sapiens
ZP_9902630.1,12,Homo sapiens
WP_9440854.1,2,Homo sapiens
ZP_8562605.1,15,Homo sapiens
NP_586799.1,11,Homo sapiens
XP_2338057.1,10,Homo sapiens
YP_666088.1,9,Homo sapiens
AP_6658947.1,4,Homo sapiens
WP_758003.1,3,Homo sapiens
NP_905113.1,14,Homo sapiens
WP_9422004.1,4,Homo sapiens
ZP_4134464.1,16,Homo sapiens
WP_2192101.1,6,Homo sapiens
RP_9944689.1,13,Homo sapiens
WP_6862126.1,12,Homo sapiens
RP_6442057.1,11,Homo sapiens
NP_3641483.1,5,Homo sapiens
XP_1612760.1,10,Homo sapiens
AP_3657689.1,11,Homo sapiens
AP_1963236.1,12,Homo sapiens
WP_550930.1,4,Homo sapiens
YP_7502324.1,11,Homo sapiens
ZP_8046232.1,4,Homo sapiens
AP_3598408.1,7,Homo sapiens
YP_5503252.1,6,Homo sapiens
ZP_191006.1,4,Homo sapiens
NP_788725.1,7,Homo sapiens
RP_9277376.1,9,Homo sapiens
YP_306487.1,3,Homo sapiens
AP_3737820.1,7,Homo sapiens
NP_7118523.1,10,Homo sapiens
NP_5520712.1,8,Homo sapiens
RP_3552501.1,17,Homo sapiens
YP_2545840.1,7,Homo sapiens
NP_5551973.1,8,Homo sapiens
NP_1479904.1,8,Homo sapiens
NP_7453172.1,4,Homo sapiens
AP_1756321.1,10,Homo sapiens
XP_5454552.1,7,Homo sapiens
NP_5932801.1,6,Homo sapiens
WP_6650091.1,9,Homo sapiens
RP_3466823.1,4,Homo sapiens
XP_7470683.1,17,Homo sapiens
WP_9585961.1,10,Homo sapiens
WP_5147999.1,5,Homo sapiens
WP_4918750.1,5,Homo sapiens
YP_9312863.1,17,Homo sapiens
RP_4575156.1,13,Homo sapiens
ZP_8170297.1,13,Homo sapiens
RP_2730723.1,6,Homo sapiens
XP_965139.1,7,Homo sapiens
XP_7643159.1,12,Homo sapiens
AP_3001717.1,5,Homo sapiens
ZP_6916525.1,6,Homo sapiens
WP_5792796.1,7,Homo sapiens
